"cases","zip_code","total_population","total_non_hispanic","total_white_nonhispanic","total_black_nonhispanic","total_asian_alone","total_black","total_hispanic","average_household_size","pct_more_than_one_occupant_per_room","total_male","total_female","age_60_and_over","age_65_and_over","age_75_and_over","median_age","below_poverty_level","pct_below_poverty_level","household_median_income","household_mean_income","pct_services","pct_over_age_65","pct_white","pct_minority","pct_black","pct_hispanic","cases_per_1000","city"
1359,10465,44205,24637,18898,3915,1254,6201,19568,2.64392522195823,3.6,21403,22802,10806,7680,3892,41.5,5141,12.2,74796,106350,0.221723695887979,0.173736002714625,0.427508200429816,0.572491799570184,0.0885646420088225,0.442664856916638,30.7431286053614,"nyc"
1690,10461,50348,26882,16754,3862,5383,5908,23466,2.60231732445712,8.2,24497,25851,10596,7838,3919,37.8,7332,14.8,56612,83716,0.255761048152673,0.155676491618336,0.332763962818781,0.667236037181219,0.0767061253674426,0.466076110272503,33.566378009057,"nyc"
1792,10457,74554,24924,1052,21964,682,31654,49630,2.89327352439717,17.9,35086,39468,9600,6754,2534,29.8,27750,38.1,27420,46260,0.459178925516303,0.0905920540816053,0.0141105775679373,0.985889422432063,0.294605252568608,0.665691981650884,24.0362690130644,"nyc"
1407,10460,59505,18146,1539,15043,888,19091,41359,2.85538619576383,12,27647,31858,9440,6612,2500,31.6,21567,36.7,26866,44664,0.427390180878553,0.11111671288127,0.025863372825813,0.974136627174187,0.252802285522225,0.695050836064196,23.6450718427023,"nyc"
1234,10032,64264,21670,9038,8737,2888,14433,42594,2.97940721892376,11.9,32163,32101,11632,8301,3873,34.7,14585,23.1,50391,72422,0.35547419804742,0.129170297522719,0.140638615710195,0.859361384289805,0.135954811402963,0.662797211502552,19.2020415784887,"nyc"
2005,10452,76078,24255,1446,20567,1027,27616,51823,2.87946260430223,18.7,34800,41278,9242,6152,2248,31.6,28044,37.2,28277,43432,0.472079389512986,0.0808643760351219,0.0190068088014932,0.980993191198507,0.270340965850837,0.681182470622256,26.354530876206,"nyc"
2141,10456,94218,36247,1133,32331,783,42254,57971,2.98141223110418,14.1,43844,50374,12959,8502,3159,30.9,35856,38.7,27106,46748,0.468437192617022,0.0902375342291282,0.0120253030206542,0.987974696979346,0.343150990256639,0.615285826487508,22.7238956462672,"nyc"
1682,10472,68796,24393,1795,16343,4483,20150,44403,3.10702654543793,15.9,33428,35368,10937,7663,3383,32.1,23421,34.4,30977,51763,0.405146891368709,0.111387289958719,0.0260916332344904,0.97390836676551,0.237557416128845,0.645429966858538,24.4490958776673,"nyc"
1067,10031,60254,29299,10485,14291,2279,26486,30955,2.72377476205656,8.5,30567,29687,10009,6548,3086,34.2,13451,22.4,49891,75008,0.303118676348054,0.108673283101537,0.174013343512464,0.825986656487536,0.237179274405019,0.513741826268795,17.7083679091845,"nyc"
438,10039,27726,18348,1872,15274,452,18406,9378,2.44243086529884,6.5,11816,15910,4020,2598,1201,33.7,7148,25.8,39653,58199,0.278310140821598,0.0937026617615235,0.0675178532785111,0.932482146721489,0.550890860564091,0.338238476520234,15.7974464401645,"nyc"
1293,10459,48351,15521,791,13962,356,17790,32830,2.90493834696618,10.2,23004,25347,6897,4864,2338,31.3,16462,34.3,27687,48578,0.40116247189779,0.100597712560237,0.0163595375483444,0.983640462451656,0.288763417509462,0.678993195590577,26.7419494943228,"nyc"
1418,10451,47798,19562,1264,16912,557,20867,28236,2.4879579563876,10,22334,25464,8157,6020,2808,34.1,16967,35.5,28921,51850,0.410934931325237,0.125946692330223,0.0264446211138541,0.973555378886146,0.35382233566258,0.590736014059166,29.6665132432319,"nyc"
1695,10473,59609,23344,1535,19922,918,25936,36265,2.83120802483879,6.5,26916,32693,12239,8779,3729,36.1,15182,25.7,41638,67745,0.346236559139785,0.147276417990572,0.0257511449613313,0.974248855038669,0.334211276820614,0.60838128470533,28.4353033937828,"nyc"
